Order_ID,Date,Region,Category,Sub_Category,Segment,Quantity,Sales,Discount,Revenue,Profit
ORD-2024001,2023-11-24,Asia Pacific,Technology,Laptops,Corporate,4,1530.24,0.2,1224.19,174.57
ORD-2024002,2023-08-05,North America,Technology,Laptops,Corporate,4,2920.35,0.2,2336.28,535.18
ORD-2024003,2023-08-18,North America,Office Supplies,Storage,Corporate,12,451.3,0.1,406.17,59.53
ORD-2024004,2023-07-14,Asia Pacific,Technology,Accessories,Home Office,13,3786.61,0.15,3218.62,452.18
ORD-2024005,2023-05-31,Asia Pacific,Office Supplies,Art,Corporate,12,1154.07,0.0,1154.07,395.13
ORD-2024006,2024-03-19,Asia Pacific,Technology,Monitors,Enterprise,11,11466.45,0.1,10319.81,1426.76
ORD-2024007,2023-12-16,Middle East,Office Supplies,Paper,Corporate,9,493.59,0.2,394.87,69.93
ORD-2024008,2023-06-16,North America,Technology,Smartphones,Home Office,7,3530.48,0.1,3177.43,556.95
ORD-2024009,2023-09-13,Europe,Furniture,Furnishings,Home Office,3,947.32,0.2,757.86,175.36
ORD-2024010,2023-10-26,Europe,Furniture,Bookcases,Corporate,9,3576.86,0.05,3398.02,962.1
ORD-2024011,2024-02-10,Middle East,Office Supplies,Appliances,Consumer,7,493.9,0.2,395.12,135.84
ORD-2024012,2023-01-06,Middle East,Office Supplies,Paper,Home Office,13,788.45,0.15,670.18,80.99
ORD-2024013,2024-01-05,Middle East,Office Supplies,Storage,Corporate,9,417.03,0.2,333.62,92.86
ORD-2024014,2023-03-20,Middle East,Furniture,Tables,Consumer,10,881.8,0.1,793.62,144.64
ORD-2024015,2023-05-04,North America,Office Supplies,Paper,Enterprise,14,1335.78,0.05,1268.99,167.97
ORD-2024016,2024-04-29,Asia Pacific,Office Supplies,Binders,Enterprise,4,349.74,0.1,314.77,30.17
ORD-2024017,2023-12-10,Latin America,Office Supplies,Storage,Enterprise,2,34.42,0.2,27.54,1.99
ORD-2024018,2023-04-23,North America,Technology,Laptops,Corporate,2,2220.3,0.05,2109.28,405.83
ORD-2024019,2023-09-06,Middle East,Technology,Smartphones,Enterprise,4,3981.55,0.0,3981.55,526.59
ORD-2024020,2023-07-01,Latin America,Furniture,Furnishings,Consumer,11,3865.35,0.1,3478.82,1141.59
ORD-2024021,2023-02-25,Europe,Technology,Smartphones,Enterprise,3,1952.36,0.0,1952.36,199.22
ORD-2024022,2024-03-17,North America,Office Supplies,Paper,Consumer,2,64.93,0.15,55.19,13.53
ORD-2024023,2024-03-18,Europe,Furniture,Chairs,Enterprise,1,191.39,0.15,162.68,13.0
ORD-2024024,2023-12-23,Latin America,Office Supplies,Art,Corporate,4,303.26,0.2,242.61,32.96
ORD-2024025,2023-06-10,Middle East,Technology,Laptops,Enterprise,9,10110.76,0.2,8088.61,414.26
ORD-2024026,2023-04-06,Europe,Technology,Laptops,Enterprise,2,2289.03,0.0,2289.03,290.05
ORD-2024027,2023-08-03,Middle East,Office Supplies,Art,Home Office,15,719.84,0.1,647.86,144.41
ORD-2024028,2023-12-10,Latin America,Office Supplies,Storage,Home Office,15,946.8,0.2,757.44,287.06
ORD-2024029,2023-02-07,Middle East,Office Supplies,Binders,Home Office,3,321.97,0.1,289.77,56.24
ORD-2024030,2023-08-13,Middle East,Office Supplies,Storage,Consumer,11,931.21,0.05,884.65,166.99
ORD-2024031,2024-03-31,Asia Pacific,Technology,Smartphones,Home Office,10,4500.98,0.1,4050.88,1018.42
ORD-2024032,2023-05-09,Latin America,Technology,Laptops,Home Office,1,253.37,0.1,228.03,36.94
ORD-2024033,2023-08-15,Middle East,Office Supplies,Appliances,Consumer,2,219.83,0.2,175.86,22.75
ORD-2024034,2023-07-09,Europe,Office Supplies,Art,Enterprise,3,338.92,0.0,338.92,56.21
ORD-2024035,2023-04-18,North America,Office Supplies,Binders,Home Office,13,1524.29,0.05,1448.08,522.32
ORD-2024036,2023-05-02,Latin America,Technology,Smartphones,Consumer,3,2849.21,0.05,2706.75,512.58
ORD-2024037,2024-02-08,Latin America,Office Supplies,Paper,Consumer,14,1560.12,0.1,1404.11,279.91
ORD-2024038,2024-02-12,North America,Technology,Smartphones,Corporate,7,3932.94,0.1,3539.65,747.92
ORD-2024039,2023-09-18,North America,Furniture,Bookcases,Consumer,15,2324.98,0.1,2092.48,271.91
ORD-2024040,2023-11-02,Asia Pacific,Furniture,Bookcases,Enterprise,10,1285.71,0.05,1221.42,92.41
ORD-2024041,2023-12-29,Middle East,Furniture,Chairs,Corporate,6,2871.16,0.2,2296.93,463.1
ORD-2024042,2024-03-10,Middle East,Technology,Accessories,Home Office,11,7017.71,0.05,6666.82,1132.55
ORD-2024043,2023-12-07,Middle East,Furniture,Tables,Home Office,7,561.19,0.15,477.01,154.69
ORD-2024044,2023-11-07,Latin America,Office Supplies,Storage,Enterprise,8,786.74,0.05,747.4,98.84
ORD-2024045,2023-05-26,Asia Pacific,Office Supplies,Art,Consumer,14,666.32,0.05,633.0,100.21
ORD-2024046,2023-01-24,Middle East,Technology,Monitors,Consumer,8,5149.75,0.15,4377.29,1087.92
ORD-2024047,2023-05-05,North America,Technology,Laptops,Enterprise,4,1668.37,0.0,1668.37,196.93
